,State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
2997,NE,Wheeler County ,304,13276,26,915,-1,-1,-27,-8.882
679,AL,Randolph County ,7005,338958,412,22063,478,25455,66,0.9420000000000001
3001,TX,Roberts County ,275,17228,29,2415,-1,-1,-30,-10.909
2466,FL,Leon County ,93546,6558668,8667,397498,7786,372634,-881,-0.9420000000000001
505,MO,Miller County ,7997,369653,626,20314,724,28863,98,1.225
2212,VA,Sussex County ,3272,156381,287,9951,266,9846,-21,-0.642
2727,OK,Greer County ,1373,64285,87,2966,67,2733,-20,-1.4569999999999999
1902,TX,Garza County ,1368,83002,81,3931,76,3568,-5,-0.365
1405,AL,Talladega County ,25231,1282108,1638,72932,1661,70022,23,0.091
307,OR,Sherman County ,624,39854,36,1562,47,2057,11,1.7630000000000001
1698,IN,Putnam County ,12428,730620,1008,46403,986,44886,-22,-0.177
1989,IA,Dubuque County ,37647,2877694,1807,150923,1641,83123,-166,-0.441
1206,OK,Carter County ,15671,1005459,1037,46318,1081,45094,44,0.281
1763,WI,Crawford County ,6352,333367,380,15557,365,16055,-15,-0.23600000000000002
1656,TX,Bowie County ,31066,1830960,2283,113931,2244,96226,-39,-0.126
533,WI,Oconto County ,14982,920948,887,46285,1063,59415,176,1.175
1913,NY,Putnam County ,38568,4145237,2927,237677,2785,226978,-142,-0.368
1011,WV,Jefferson County ,20192,1547589,1702,109523,1802,111099,100,0.495
1434,TN,Weakley County ,9969,514333,705,25271,712,25509,7,0.07
1829,MN,Redwood County ,5981,366213,343,15791,325,14339,-18,-0.301
2162,NY,Oneida County ,86373,5288593,3760,181015,3237,143976,-523,-0.606
630,IN,Floyd County ,29159,2406583,2535,137124,2831,146894,296,1.015
2497,IL,Lake County ,262119,34324987,17962,1771734,15377,1338450,-2585,-0.986
1394,NC,Jackson County ,12046,684304,1166,47866,1179,63487,13,0.10800000000000001
2280,KS,Sedgwick County ,184693,13665707,10251,568541,8940,440075,-1311,-0.71
1711,MD,Dorchester County ,12045,645273,782,33908,759,36978,-23,-0.191
2366,VA,Charlotte County ,4074,189508,259,8883,226,9555,-33,-0.81
1722,GA,Bulloch County ,19447,1107586,2039,81488,2000,80251,-39,-0.201
2237,NY,Montgomery County ,18255,980587,1180,49572,1059,41572,-121,-0.6629999999999999
1418,MN,McLeod County ,14582,957427,934,50317,946,42672,12,0.08199999999999999
285,NC,Ashe County ,9059,459899,420,20217,589,31975,169,1.8659999999999999
45,GA,Barrow County ,25014,1474801,2535,123286,3475,179230,940,3.758
2552,WV,Fayette County ,13189,610097,788,27664,645,24730,-143,-1.084
364,SD,Butte County ,3657,192376,316,13430,373,13669,57,1.5590000000000002
2868,OK,Jackson County ,7776,430049,944,46340,781,34548,-163,-2.096
2623,ND,Grant County ,914,45138,33,2028,22,961,-11,-1.204
2169,OH,Mahoning County ,88442,5093030,4559,212735,4016,180668,-543,-0.614
2728,IL,Massac County ,5000,264743,289,10833,216,10162,-73,-1.46
2219,TX,Webb County ,88442,4118902,2790,126002,2218,99951,-572,-0.647
426,ND,Dunn County ,1502,135011,169,10549,190,10789,21,1.3980000000000001
2163,NY,Orleans County ,14812,777780,862,34168,772,30288,-90,-0.608
875,GA,Monroe County ,8688,675384,774,39207,830,52043,56,0.645
302,VA,Mathews County ,3354,231619,199,9873,259,17047,60,1.7890000000000001
2037,OH,Lucas County ,158388,9929773,7910,444959,7151,342500,-759,-0.479
2591,IL,Hancock County ,6895,395245,431,17377,352,14196,-79,-1.146
2104,OK,Grant County ,1452,79610,90,3370,82,3319,-8,-0.551
2455,NE,Platte County ,13120,850423,841,40405,720,31749,-121,-0.922
1437,KY,Campbell County ,33253,2584463,2961,168908,2983,164798,22,0.066
1755,VT,Bennington County ,15012,1084785,874,54419,840,56423,-34,-0.226
1477,PA,Berks County ,164052,11494526,7126,542622,7144,360072,18,0.011000000000000001
1402,CA,San Bernardino County ,697466,42198055,47252,2453323,47926,2300220,674,0.09699999999999999
756,SD,Jones County ,381,18013,20,682,23,773,3,0.787
1411,MI,Jackson County ,56223,3430633,2802,155710,2851,138193,49,0.087
2858,SD,Ziebach County ,388,14828,28,720,20,298,-8,-2.062
1747,OH,Trumbull County ,79856,4164003,3620,155858,3444,132010,-176,-0.22
935,SC,Abbeville County ,7563,374968,465,19594,509,20849,44,0.5820000000000001
2061,AL,Lawrence County ,10656,527998,612,22502,558,22576,-54,-0.507
1070,MO,Clinton County ,7306,464578,732,35342,762,36100,30,0.41100000000000003
23,AZ,Pinal County ,111736,6261375,11620,619118,16547,911743,4927,4.41
1667,NV,Elko County ,17906,1405998,1383,84200,1358,78629,-25,-0.14
1195,GA,Chatham County ,92292,6463149,9683,493564,9949,516450,266,0.28800000000000003
698,OR,Marion County ,115501,7687968,7622,385658,8671,436106,1049,0.9079999999999999
2006,NY,Chenango County ,18334,978070,1060,46045,977,39675,-83,-0.45299999999999996
2176,TX,Gonzales County ,6959,407037,441,19526,398,19327,-43,-0.618
1970,AL,Clarke County ,7771,417525,372,15156,339,13919,-33,-0.425
2056,IL,De Witt County ,6030,391005,367,19042,337,15328,-30,-0.498
314,CO,Delta County ,10302,524861,751,34145,929,47151,178,1.7280000000000002
2263,MT,Fergus County ,4329,241687,288,11971,258,13252,-30,-0.693
1106,WI,Vernon County ,10970,592828,659,27835,700,33542,41,0.374
937,MO,Chariton County ,2754,141016,125,4936,141,5576,16,0.581
2618,OH,Henry County ,11258,684399,679,28179,544,20629,-135,-1.199
1957,SC,Lee County ,5306,203752,347,10620,325,8375,-22,-0.415
1213,OH,Richland County ,45689,2519274,2269,98881,2394,101289,125,0.27399999999999997
1889,IN,Miami County ,12135,615609,852,32508,809,29893,-43,-0.354
1029,NY,Sullivan County ,26581,1614140,1780,96528,1905,100167,125,0.47
2043,RI,Providence County ,245590,15855719,13462,883628,12268,687730,-1194,-0.486
1021,CO,Routt County ,9940,1069506,1007,66256,1055,89085,48,0.483
1786,MA,Worcester County ,319756,27046242,15631,1159915,14806,949727,-825,-0.258
815,TX,Lamar County ,16471,888008,926,37281,1043,47176,117,0.71
2449,OH,Harrison County ,5243,311144,331,13585,283,11300,-48,-0.9159999999999999
401,VA,Orange County ,13179,919390,1295,71204,1486,95110,191,1.449
1993,MN,Koochiching County ,4725,263376,209,11497,188,8271,-21,-0.444
2563,AZ,Coconino County ,43997,3020851,4959,247737,4479,270112,-480,-1.091
1344,IA,Jasper County ,13373,863354,922,45881,942,45623,20,0.15
37,TX,Blanco County ,4070,335384,312,13270,474,49058,162,3.98
1962,TX,DeWitt County ,6205,540090,506,33287,480,23532,-26,-0.419
2286,ND,Burleigh County ,36303,3208311,2770,158312,2510,132546,-260,-0.716
2411,GA,Twiggs County ,2669,114839,236,8414,213,7155,-23,-0.862
474,AL,Russell County ,16861,742780,2386,90500,2605,98118,219,1.2990000000000002
1012,HI,Hawaii County ,70835,4351974,3653,199739,4003,259449,350,0.494
2062,TX,Shelby County ,7877,389969,484,21219,444,16770,-40,-0.508
957,TN,Carter County ,18013,844519,1321,43189,1421,54932,100,0.555
865,MA,Barnstable County ,100287,8471195,5535,452658,6196,719738,661,0.659
1830,TX,Freestone County ,5964,329604,438,20430,420,21453,-18,-0.302
1111,KS,Miami County ,11694,933051,973,52636,1016,66103,43,0.368
1268,OH,Hocking County ,9823,503217,607,25246,628,25431,21,0.214
1488,UT,Piute County ,401,15889,23,1019,23,843,0,0.0
2586,NC,Halifax County ,16608,733281,1043,38148,854,31076,-189,-1.138
2127,GA,Decatur County ,8208,373647,495,16888,448,15228,-47,-0.573
95,TX,Bandera County ,7535,493821,630,31284,860,61838,230,3.052
1313,CO,Rio Grande County ,4401,223056,377,15940,385,18403,8,0.182
1005,IN,Porter County ,63902,5240688,4332,244133,4651,275448,319,0.499
2989,CO,Cheyenne County ,635,26767,33,1052,-1,-1,-34,-5.354
68,FL,Pasco County ,176843,10628235,16437,899758,22300,1256779,5863,3.315
2132,CO,Eagle County ,21207,2384750,2283,154653,2161,257636,-122,-0.575
868,WI,Green Lake County ,7492,426776,520,23420,569,30692,49,0.654
1778,MN,Beltrami County ,15232,902390,1079,48944,1041,51051,-38,-0.249
873,FL,Holmes County ,5118,228295,428,15004,461,19636,33,0.645
2301,KY,Carroll County ,3537,187198,295,11493,269,9902,-26,-0.735
984,IN,Tipton County ,5878,383716,442,19346,473,21745,31,0.527
2995,ID,Madison County ,8363,466480,2114,65741,1448,53351,-666,-7.9639999999999995
1613,VA,Amherst County ,11172,602412,777,32424,767,36169,-10,-0.09
2528,SC,Barnwell County ,6642,323169,376,13344,307,10870,-69,-1.0390000000000001
532,TX,Bell County ,108393,6146329,14482,673718,15759,657336,1277,1.178
260,WA,Lincoln County ,3650,230728,255,11307,326,17339,71,1.945
530,OH,Madison County ,14803,984351,1180,60181,1355,68156,175,1.182
2914,KS,Scott County ,1817,129737,128,5676,84,4209,-44,-2.4219999999999997
2826,MI,Houghton County ,11634,653731,857,35077,645,32070,-212,-1.8219999999999998
1982,TX,Lee County ,5946,402284,475,22031,449,24267,-26,-0.43700000000000006
2649,TX,Lamb County ,4025,174889,306,12980,255,9634,-51,-1.2670000000000001
2224,TX,Cameron County ,131598,5621633,5463,232009,4609,212208,-854,-0.649
542,MN,Carver County ,37236,4758987,3011,290412,3444,284037,433,1.163
1849,MN,Mower County ,14912,982602,901,48977,853,38164,-48,-0.322
2726,AR,Pike County ,3160,143112,216,7531,170,7251,-46,-1.456
2859,ND,McHenry County ,2179,125427,125,6160,80,4406,-45,-2.065
184,SC,Spartanburg County ,104846,6599512,5592,275442,8065,402817,2473,2.359
1682,MI,St. Clair County ,62537,3809603,3209,144953,3108,162770,-101,-0.162
2850,MT,Custer County ,4260,262099,312,12699,227,9424,-85,-1.995
1013,MD,Howard County ,116264,15233847,11536,953048,12106,908741,570,0.49
1528,MT,Lake County ,9848,515493,787,32389,786,44115,-1,-0.01
93,UT,Iron County ,14152,806290,1338,52121,1775,85495,437,3.088
1312,KS,Logan County ,1091,61163,59,2067,61,2498,2,0.183
1927,IL,Carroll County ,6055,353887,325,13669,302,15504,-23,-0.38
1375,WI,Iowa County ,9608,615135,661,33814,673,37692,12,0.125
2936,KY,Cumberland County ,2067,81875,104,2988,50,1652,-54,-2.612
993,ID,Idaho County ,5065,249783,365,14320,391,22230,26,0.513
2802,GA,Calhoun County ,1495,63512,103,3194,77,2491,-26,-1.739
1684,NJ,Sussex County ,56508,5352440,3779,288682,3685,249112,-94,-0.166
511,MN,Lake of the Woods County ,1567,89557,83,3470,102,5358,19,1.213
44,UT,Kane County ,2376,136576,203,8114,293,14302,90,3.7880000000000003
1928,PA,McKean County ,15412,842208,606,30355,547,25103,-59,-0.38299999999999995
2909,TX,Sterling County ,421,35488,38,1913,28,1130,-10,-2.375
717,SC,Dorchester County ,51241,3294567,6621,327729,7065,361485,444,0.866
2416,CA,San Mateo County ,305494,60522998,26450,3976835,23794,3500170,-2656,-0.8690000000000001
650,MO,Dade County ,2447,107483,160,4941,184,7880,24,0.981
2605,MN,Jackson County ,4075,243876,236,9136,188,7018,-48,-1.178
2524,MN,Kandiyohi County ,16765,1137275,1038,50099,865,46914,-173,-1.032
2421,NJ,Mercer County ,136411,15814379,9782,991895,8591,682190,-1191,-0.873
1122,MO,Cooper County ,5810,300566,415,15741,436,18938,21,0.361
2706,TX,Lipscomb County ,1068,70695,68,2778,53,1833,-15,-1.4040000000000001
2023,IL,Rock Island County ,55661,3434071,3348,194678,3088,145826,-260,-0.467
202,WA,Skamania County ,3841,315123,338,19096,424,31797,86,2.239
1495,NE,McPherson County ,166,7622,-1,-1,-1,-1,0,0.0
1499,KS,Russell County ,2549,120326,144,5440,144,4981,0,0.0
1643,VA,Campbell County ,19471,1165334,1721,67907,1698,69489,-23,-0.11800000000000001
1084,NY,Saratoga County ,92707,10060047,6895,655521,7266,780689,371,0.4
2715,VA,Tazewell County ,12445,681909,688,30489,510,22646,-178,-1.43
486,OR,Douglas County ,36511,1975864,2117,98973,2578,114980,461,1.263
2547,AR,Pulaski County ,136703,10618022,10704,564337,9236,430216,-1468,-1.074
1117,KS,Kingman County ,2736,148599,181,16685,191,8596,10,0.365
1775,AL,Escambia County ,11071,539007,661,25911,634,24381,-27,-0.244
2679,TX,Karnes County ,4312,438073,330,15935,272,12567,-58,-1.345
971,NC,Alleghany County ,3690,199759,185,9808,205,10505,20,0.542
1289,KY,Butler County ,4001,193669,216,7770,224,7511,8,0.2
1875,MO,St. Louis County ,387097,40987838,26482,1840109,25165,1582118,-1317,-0.34
2831,MI,Isabella County ,20140,1214536,2010,81350,1638,65219,-372,-1.847
1231,WI,Washburn County ,6647,401859,479,26225,496,30558,17,0.256
1164,MA,Plymouth County ,204025,21041244,11602,1006256,12253,994861,651,0.319
