,State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
1077,FL,Palm Beach County,553857,61273140,35233,2953481,37476,5417837,2243,0.405
420,ME,Piscataquis County,5832,274080,343,14073,425,17748,82,1.406
2623,ND,Grant County,914,45138,33,2028,22,961,-11,-1.204
658,NC,Lee County,20169,1149838,1747,77209,1943,105291,196,0.972
1980,ID,Fremont County,4127,191700,409,18075,391,20034,-18,-0.436
2320,OH,Hamilton County,313485,26584394,19799,1414192,17416,1114524,-2383,-0.76
2601,KS,Lyon County,11452,628499,784,30014,650,26499,-134,-1.17
1240,FL,Liberty County,2014,96170,136,4350,141,4354,5,0.248
641,NE,Sarpy County,64713,5416264,6982,415062,7627,426080,645,0.997
1409,NH,Cheshire County,29945,2173431,1915,117694,1942,119683,27,0.09
985,GA,Appling County,5508,271497,291,11108,320,10695,29,0.527
747,AR,Jackson County,4328,205318,291,10427,326,10000,35,0.809
532,TX,Bell County,108393,6146329,14482,673718,15759,657336,1277,1.178
2304,PA,Snyder County,14749,833256,801,35625,692,28412,-109,-0.7390000000000001
1112,MO,St. Charles County,150687,12896086,9825,641975,10378,659764,553,0.36700000000000005
3002,MT,Treasure County,274,14096,31,1657,-1,-1,-32,-11.679
1753,NY,Columbia County,24120,1848313,1505,93368,1451,116061,-54,-0.22399999999999998
1423,NH,Hillsborough County,167702,15064886,11580,863493,11713,780878,133,0.079
1154,TX,Stephens County,2759,140533,158,6954,167,8076,9,0.326
1644,OH,Hancock County,29414,2066780,1858,98847,1823,96826,-35,-0.11900000000000001
374,CO,Denver County,254974,25477696,40481,2667509,44384,3124332,3903,1.531
2792,KS,Brown County,3464,186095,217,11587,158,4427,-59,-1.703
1533,MS,Itawamba County,7251,374426,547,19028,546,18504,-1,-0.013999999999999999
677,TX,Upton County,1061,89331,84,5085,94,4374,10,0.943
2016,CA,Ventura County,318012,29295134,17225,1471512,15757,1254039,-1468,-0.462
558,KY,Breckinridge County,6353,323141,390,13081,462,18126,72,1.133
1991,ID,Gooding County,4739,172538,413,14911,392,16066,-21,-0.44299999999999995
1266,MI,Mason County,11172,617086,661,42877,685,35274,24,0.215
2494,ND,Traill County,2948,224214,216,10712,187,10488,-29,-0.9840000000000001
2931,IL,Greene County,4602,232657,301,14186,183,7155,-118,-2.5639999999999996
1436,KY,Livingston County,3042,151253,259,9600,261,10014,2,0.066
1416,MI,Lenawee County,36200,2120869,1886,94370,1916,93679,30,0.083
2900,GA,Dougherty County,26932,1236208,2565,97520,1953,69041,-612,-2.272
