,outflow_state,outflow_county,outflow_n1,outflow_n2,agi_x,inflow_state,inflow_county,inflow_n1,inflow_n2,agi_y
0,AL,Autauga County Total Migration-US and Foreign,1888,4179,99955,AL,Autauga County Total Migration-US and Foreign,1925,4386,100564
1,AL,Autauga County Non-migrants,18028,41008,1143227,AL,Autauga County Non-migrants,18028,41008,1143227
2,AL,Baldwin County Total Migration-US and Foreign,4609,8640,238893,AL,Baldwin County Total Migration-US and Foreign,6818,13693,491043
3,AL,Baldwin County Non-migrants,73765,158376,5421048,AL,Baldwin County Non-migrants,73765,158376,5421048
4,AL,Barbour County Total Migration-US and Foreign,445,914,16473,AL,Barbour County Total Migration-US and Foreign,389,839,15215
5,AL,Barbour County Non-migrants,7176,15417,322664,AL,Barbour County Non-migrants,7176,15417,322664
6,AL,Bibb County Total Migration-US and Foreign,450,954,18686,AL,Bibb County Total Migration-US and Foreign,376,856,15189
7,AL,Bibb County Non-migrants,6054,14005,332129,AL,Bibb County Non-migrants,6054,14005,332129
8,AL,Blount County Total Migration-US and Foreign,1148,2459,51327,AL,Blount County Total Migration-US and Foreign,1211,2482,52661
9,AL,Blount County Non-migrants,17300,41284,982763,AL,Blount County Non-migrants,17300,41284,982763
10,AL,Bullock County Total Migration-US and Foreign,175,373,5388,AL,Bullock County Total Migration-US and Foreign,180,400,5131
11,AL,Bullock County Non-migrants,2948,6240,108587,AL,Bullock County Non-migrants,2948,6240,108587
12,AL,Butler County Total Migration-US and Foreign,341,708,11655,AL,Butler County Total Migration-US and Foreign,287,625,11470
13,AL,Butler County Non-migrants,6313,13773,287883,AL,Butler County Non-migrants,6313,13773,287883
14,AL,Calhoun County Total Migration-US and Foreign,2333,4520,94110,AL,Calhoun County Total Migration-US and Foreign,2153,4284,85119
15,AL,Calhoun County Non-migrants,37377,80021,1968333,AL,Calhoun County Non-migrants,37377,80021,1968333
16,AL,Chambers County Total Migration-US and Foreign,792,1602,33311,AL,Chambers County Total Migration-US and Foreign,785,1578,27038
17,AL,Chambers County Non-migrants,10758,22941,550450,AL,Chambers County Non-migrants,10758,22941,550450
18,AL,Cherokee County Total Migration-US and Foreign,441,935,17422,AL,Cherokee County Total Migration-US and Foreign,554,1178,28923
19,AL,Cherokee County Non-migrants,7440,16616,370732,AL,Cherokee County Non-migrants,7440,16616,370732
20,AL,Chilton County Total Migration-US and Foreign,782,1670,31426,AL,Chilton County Total Migration-US and Foreign,868,1878,37423
21,AL,Chilton County Non-migrants,13372,30899,713099,AL,Chilton County Non-migrants,13372,30899,713099
22,AL,Choctaw County Total Migration-US and Foreign,185,401,7378,AL,Choctaw County Total Migration-US and Foreign,160,306,6056
23,AL,Choctaw County Non-migrants,4010,8915,208430,AL,Choctaw County Non-migrants,4010,8915,208430
24,AL,Clarke County Total Migration-US and Foreign,372,782,15156,AL,Clarke County Total Migration-US and Foreign,339,758,13919
25,AL,Clarke County Non-migrants,7771,17504,417525,AL,Clarke County Non-migrants,7771,17504,417525
26,AL,Clay County Total Migration-US and Foreign,273,566,10205,AL,Clay County Total Migration-US and Foreign,250,554,10108
27,AL,Clay County Non-migrants,4435,9847,232317,AL,Clay County Non-migrants,4435,9847,232317
28,AL,Cleburne County Total Migration-US and Foreign,304,679,11583,AL,Cleburne County Total Migration-US and Foreign,296,616,12231
29,AL,Cleburne County Non-migrants,4439,10275,233526,AL,Cleburne County Non-migrants,4439,10275,233526
30,AL,Coffee County Total Migration-US and Foreign,1815,4002,93905,AL,Coffee County Total Migration-US and Foreign,1841,4045,90762
31,AL,Coffee County Non-migrants,15784,35805,992433,AL,Coffee County Non-migrants,15784,35805,992433
32,AL,Colbert County Total Migration-US and Foreign,1132,2241,48151,AL,Colbert County Total Migration-US and Foreign,1310,2563,58281
33,AL,Colbert County Non-migrants,18544,40085,1220340,AL,Colbert County Non-migrants,18544,40085,1220340
34,AL,Conecuh County Total Migration-US and Foreign,252,546,8281,AL,Conecuh County Total Migration-US and Foreign,182,375,6471
35,AL,Conecuh County Non-migrants,3644,7978,163575,AL,Conecuh County Non-migrants,3644,7978,163575
36,AL,Coosa County Total Migration-US and Foreign,293,593,10977,AL,Coosa County Total Migration-US and Foreign,288,628,11927
37,AL,Coosa County Non-migrants,2993,6259,143833,AL,Coosa County Non-migrants,2993,6259,143833
38,AL,Covington County Total Migration-US and Foreign,575,1202,23405,AL,Covington County Total Migration-US and Foreign,601,1348,24234
39,AL,Covington County Non-migrants,11559,25611,621953,AL,Covington County Non-migrants,11559,25611,621953
40,AL,Crenshaw County Total Migration-US and Foreign,267,558,9794,AL,Crenshaw County Total Migration-US and Foreign,278,603,10806
41,AL,Crenshaw County Non-migrants,4462,9798,205376,AL,Crenshaw County Non-migrants,4462,9798,205376
42,AL,Cullman County Total Migration-US and Foreign,1326,2638,57170,AL,Cullman County Total Migration-US and Foreign,1490,3109,77215
43,AL,Cullman County Non-migrants,26631,60549,1560602,AL,Cullman County Non-migrants,26631,60549,1560602
44,AL,Dale County Total Migration-US and Foreign,2269,5347,102323,AL,Dale County Total Migration-US and Foreign,2170,4984,94792
