,State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
0,AL,Autauga County ,18028,1143227,1888,99955,1925,100564,37,0.0020523629909030396
1,AL,Baldwin County ,73765,5421048,4609,238893,6818,491043,2209,0.02994645156917237
2,AL,Barbour County ,7176,322664,445,16473,389,15215,-56,-0.007803790412486065
3,AL,Bibb County ,6054,332129,450,18686,376,15189,-74,-0.012223323422530559
4,AL,Blount County ,17300,982763,1148,51327,1211,52661,63,0.0036416184971098265
5,AL,Bullock County ,2948,108587,175,5388,180,5131,5,0.0016960651289009499
6,AL,Butler County ,6313,287883,341,11655,287,11470,-54,-0.008553777918580707
7,AL,Calhoun County ,37377,1968333,2333,94110,2153,85119,-180,-0.004815795810257645
8,AL,Chambers County ,10758,550450,792,33311,785,27038,-7,-0.0006506785647889942
9,AL,Cherokee County ,7440,370732,441,17422,554,28923,113,0.015188172043010753
10,AL,Chilton County ,13372,713099,782,31426,868,37423,86,0.0064313490876458275
11,AL,Choctaw County ,4010,208430,185,7378,160,6056,-25,-0.006234413965087282
12,AL,Clarke County ,7771,417525,372,15156,339,13919,-33,-0.004246557714579848
13,AL,Clay County ,4435,232317,273,10205,250,10108,-23,-0.005186020293122886
14,AL,Cleburne County ,4439,233526,304,11583,296,12231,-8,-0.0018022077044379365
15,AL,Coffee County ,15784,992433,1815,93905,1841,90762,26,0.0016472377090724784
16,AL,Colbert County ,18544,1220340,1132,48151,1310,58281,178,0.009598792062122519
17,AL,Conecuh County ,3644,163575,252,8281,182,6471,-70,-0.019209659714599342
18,AL,Coosa County ,2993,143833,293,10977,288,11927,-5,-0.001670564650851988
19,AL,Covington County ,11559,621953,575,23405,601,24234,26,0.0022493295267756726
20,AL,Crenshaw County ,4462,205376,267,9794,278,10806,11,0.002465262214253698
21,AL,Cullman County ,26631,1560602,1326,57170,1490,77215,164,0.006158236641508017
22,AL,Dale County ,14414,744455,2269,102323,2170,94792,-99,-0.006868322464270848
23,AL,Dallas County ,12346,517964,728,29459,396,13982,-332,-0.026891300826178518
24,AL,DeKalb County ,21078,1018194,1199,47723,1139,42618,-60,-0.002846569883290635
25,AL,Elmore County ,27303,1767149,2187,100134,2459,120603,272,0.009962275207852617
26,AL,Escambia County ,11071,539007,661,25911,634,24381,-27,-0.0024388040827386867
