State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
NV,Eureka County,556,38167,26,2961,78,4974,52,9.353
NE,Hooker County,279,10670,-1,-1,21,874,22,7.885
ND,McKenzie County,3461,464151,575,46125,837,52025,262,7.57
CO,Mineral County,324,21265,-1,-1,22,1256,23,7.099
ND,Williams County,12437,1217462,1644,112302,2504,137024,860,6.915
NC,Brunswick County,47066,3211054,3326,175906,6105,530642,2779,5.904
TX,Comal County,49749,4841034,5072,343378,7990,643962,2918,5.865
TX,Kaufman County,40842,2771282,4100,223030,6450,352451,2350,5.754
FL,Sumter County,48310,3902622,3477,206987,6242,532865,2765,5.723
NV,Nye County,14356,776985,1233,58992,2032,112840,799,5.566
MT,Madison County,3099,194265,235,11423,404,32544,169,5.453
SD,Hyde County,518,26382,-1,-1,27,964,28,5.405
ID,Valley County,4068,288217,386,19540,605,47871,219,5.383
NV,Storey County,1489,103314,161,7260,240,20234,79,5.306
ID,Adams County,1405,69954,124,6432,194,10723,70,4.982
GA,Union County,8034,442940,543,26117,942,61492,399,4.966
NV,Esmeralda County,283,14434,26,956,40,1816,14,4.947
FL,Walton County,22754,2439457,2366,234757,3451,469223,1085,4.768
MT,Liberty County,765,33614,-1,-1,34,604,35,4.575
SD,Harding County,503,32179,-1,-1,22,699,23,4.573
TX,Kendall County,15826,2123389,1514,131897,2222,281173,708,4.474
NV,Lyon County,19652,1035138,2048,101840,2926,146612,878,4.468
CO,Huerfano County,2032,93385,203,8365,293,14498,90,4.429
AZ,Pinal County,111736,6261375,11620,619118,16547,911743,4927,4.41
CO,Ouray County,1906,143792,199,18002,281,25546,82,4.302
FL,St. Johns County,85850,10002422,7264,586256,10940,1127904,3676,4.282
OR,Crook County,7826,467038,652,28981,987,59271,335,4.281
CO,Park County,5762,415822,723,44826,968,66086,245,4.252
GA,Jackson County,21694,1424906,2143,112575,3046,176523,903,4.162
SC,Jasper County,8324,409293,920,42217,1265,71439,345,4.145
CO,Archuleta County,4862,298637,421,24108,621,55898,200,4.114
ID,Boise County,2482,160757,289,17172,391,31172,102,4.11
FL,Nassau County,30775,2618023,2430,142458,3695,364006,1265,4.11
VA,New Kent County,8321,863822,695,55973,1035,100182,340,4.086
FL,Lake County,125505,7498308,11203,535280,16295,956851,5092,4.057
WA,San Juan County,7114,840706,424,34588,711,88649,287,4.034
TX,Williamson County,187709,16999940,18788,1244948,26347,1818808,7559,4.027
TX,Blanco County,4070,335384,312,13270,474,49058,162,3.98
GA,Towns County,4076,234404,306,13896,466,27137,160,3.925
TX,Dickens County,561,30486,27,761,49,2635,22,3.922
CO,Sedgwick County,817,34667,30,1328,62,2056,32,3.917
NE,Boyd County,723,26263,-1,-1,27,972,28,3.873
TX,Parker County,45008,4043769,4236,329294,5958,459363,1722,3.826
TX,Hood County,19870,1603958,1845,111358,2599,202335,754,3.795
UT,Kane County,2376,136576,203,8114,293,14302,90,3.788
GA,Barrow County,25014,1474801,2535,123286,3475,179230,940,3.758
VA,Goochland County,8701,1401366,652,74983,978,108483,326,3.747
UT,Rich County,704,39812,31,1923,57,2927,26,3.693
CO,Lake County,2501,139652,343,14637,435,19875,92,3.679
NE,Deuel County,657,36640,34,1662,58,1865,24,3.653
FL,Charlotte County,65851,4186426,5791,300628,8144,614629,2353,3.573
NC,Cherokee County,9018,415273,580,25240,897,48265,317,3.515
TX,Polk County,17663,1046550,2132,133235,2750,210761,618,3.499
NC,Johnston County,63794,4123749,4835,247415,7050,381173,2215,3.472
ID,Butte County,778,39618,44,3157,71,3386,27,3.47
TX,Andrews County,5410,478686,370,22013,557,33104,187,3.457
WA,Pacific County,7784,434399,583,24817,852,45927,269,3.456
SD,Lincoln County,20899,2430125,2419,172261,3140,212390,721,3.45
NC,Franklin County,20816,1190082,1728,84668,2442,128762,714,3.43
IA,Dallas County,30754,3635281,3617,278590,4672,335788,1055,3.43
MT,Broadwater County,2072,119905,158,8557,229,11936,71,3.427
SC,Lancaster County,30807,2033727,2155,170842,3205,231016,1050,3.408
ID,Gem County,5825,291389,514,22017,712,41480,198,3.399
TX,Llano County,6822,553752,703,53465,934,89413,231,3.386
TX,Rains County,3428,192209,333,14065,449,29296,116,3.384
FL,Santa Rosa County,57698,4196080,5873,331031,7819,473388,1946,3.373
CO,Chaffee County,7289,493000,648,32864,892,63657,244,3.348
ID,Teton County,3670,247011,378,20847,500,37411,122,3.324
FL,Pasco County,176843,10628235,16437,899758,22300,1256779,5863,3.315
GA,Long County,3655,164980,837,30462,958,34316,121,3.311
AR,Fulton County,3418,145742,239,7263,352,13347,113,3.306
AZ,Mohave County,63714,3107995,4993,209302,7087,408188,2094,3.287
CO,Crowley County,854,34986,58,1663,86,3070,28,3.279
FL,Citrus County,52220,2769914,3760,176255,5471,319564,1711,3.277
GA,Effingham County,18898,1254113,1694,82115,2313,124805,619,3.275
