State,County Name,Median Home Price 2017
AL,Autauga County,142792
AL,Baldwin County,210870
AL,Barbour County,94248
AL,Bibb County,112903
AL,Blount County,130775
AL,Bullock County,70501
AL,Butler County,93720
AL,Calhoun County,127890
AL,Chambers County,91187
AL,Cherokee County,122743
AL,Chilton County,105519
AL,Choctaw County,72823
AL,Clarke County,98680
AL,Clay County,94248
AL,Cleburne County,117994
AL,Coffee County,155989
AL,Colbert County,111579
AL,Conecuh County,80316
AL,Coosa County,92137
AL,Covington County,101530
AL,Crenshaw County,81055
AL,Cullman County,130553
AL,Dale County,113984
AL,Dallas County,85277
AL,DeKalb County,120844
AL,Elmore County,158269
AL,Escambia County,99736
AL,Etowah County,120944
AL,Fayette County,87810
AL,Franklin County,92453
AL,Geneva County,93599
AL,Greene County,71073
AL,Hale County,93224
AL,Henry County,120037
AL,Houston County,147968
AL,Jackson County,110817
AL,Jefferson County,171442
AL,Lamar County,75461
AL,Lauderdale County,148909
AL,Lawrence County,101239
AL,Lee County,171163
AL,Limestone County,168090
AL,Lowndes County,62908
AL,Macon County,81372
AL,Madison County,193436
AL,Marengo County,92981
AL,Marion County,92031
AL,Marshall County,128337
AL,Mobile County,140453
AL,Monroe County,92876
AL,Montgomery County,128013
AL,Morgan County,146678
AL,Perry County,72928
AL,Pickens County,96886
AL,Pike County,115250
AL,Randolph County,89920
AL,Russell County,119847
AL,St. Clair County,155496
AL,Shelby County,221847
AL,Sumter County,73351
AL,Talladega County,108918
AL,Tallapoosa County,112928
AL,Tuscaloosa County,175740
AL,Walker County,111405
AL,Washington County,88548
AL,Wilcox County,86121
AL,Winston County,87493
AK,Aleutians East Borough,129491
AK,Aleutians West Census Area,247974
AK,Anchorage Municipality,321206
AK,Bethel Census Area,158463
AK,Bristol Bay Borough,193873
AK,Denali Borough,232813
AK,Dillingham Census Area,196780
AK,Fairbanks North Star Borough,243867
AK,Haines Borough,252439
AK,Juneau City and Borough,356281
AK,Kenai Peninsula Borough,243613
AK,Ketchikan Gateway Borough,275908
AK,Kodiak Island Borough,277984
AK,Lake and Peninsula Borough,123053
AK,Matanuska-Susitna Borough,254958
AK,Nome Census Area,148494
AK,North Slope Borough,159813
AK,Northwest Arctic Borough,151401
AK,Sitka City and Borough,364381
AK,Southeast Fairbanks Census Area,199065
AK,Valdez-Cordova Census Area,261889
AK,Yakutat City and Borough,192107
AK,Yukon-Koyukuk Census Area,83696
AZ,Apache County,51798
AZ,Cochise County,163155
AZ,Coconino County,297468
AZ,Gila County,161057
AZ,Graham County,129496
AZ,Greenlee County,91748
AZ,La Paz County,81158
AZ,Maricopa County,285478
AZ,Mohave County,179857
AZ,Navajo County,145644
AZ,Pima County,198125
AZ,Pinal County,200224
AZ,Santa Cruz County,145120
AZ,Yavapai County,292818
AZ,Yuma County,140704
AR,Arkansas County,83686
AR,Ashley County,71076
AR,Baxter County,129646
AR,Benton County,193647
AR,Boone County,121517
AR,Bradley County,77433
AR,Calhoun County,73994
AR,Carroll County,126206
AR,Chicot County,65657
AR,Clark County,99006
AR,Clay County,72952
AR,Cleburne County,132355
AR,Cleveland County,90337
AR,Columbia County,79413
AR,Conway County,102862
AR,Craighead County,141778
AR,Crawford County,120355
AR,Crittenden County,114774
AR,Cross County,82748
AR,Dallas County,67220
AR,Desha County,59091
AR,Drew County,97130
AR,Faulkner County,167462
AR,Franklin County,96926
AR,Fulton County,95150
AR,Garland County,147608
AR,Grant County,125191
AR,Greene County,115055
AR,Hempstead County,79413
AR,Hot Spring County,92649
AR,Howard County,98068
AR,Independence County,108802
AR,Izard County,82748
AR,Jackson County,63885
AR,Jefferson County,88887
AR,Johnson County,99423
AR,Lafayette County,68679
AR,Lawrence County,80351
AR,Lee County,69929
AR,Lincoln County,68478
AR,Little River County,75453
AR,Logan County,94212
AR,Lonoke County,145262
AR,Madison County,116403
AR,Marion County,122246
AR,Miller County,114110
AR,Mississippi County,84832
AR,Monroe County,56798
AR,Montgomery County,100986
AR,Nevada County,65344
AR,Newton County,95462
AR,Ouachita County,70763
AR,Perry County,100457
AR,Phillips County,69929
AR,Pike County,81914
AR,Poinsett County,80633
AR,Polk County,90773
AR,Pope County,131417
AR,Prairie County,68054
AR,Pulaski County,158440
AR,Randolph County,84937
AR,St. Francis County,64510
AR,Saline County,156210
AR,Scott County,72743
AR,Searcy County,93482
AR,Sebastian County,133407
AR,Sevier County,78579
AR,Sharp County,83269
AR,Stone County,111825
AR,Union County,83269
AR,Van Buren County,103070
AR,Washington County,184743
AR,White County,123393
AR,Woodruff County,66386
AR,Yell County,104529
CA,Alameda County,899885
CA,Alpine County,367098
CA,Amador County,297479
CA,Butte County,290347
CA,Calaveras County,291927
CA,Colusa County,238752
CA,Contra Costa County,740072
CA,Del Norte County,198498
CA,El Dorado County,518090
CA,Fresno County,270043
CA,Glenn County,229142
CA,Humboldt County,347237
CA,Imperial County,214933
CA,Inyo County,259574
CA,Kern County,219620
CA,Kings County,238412
CA,Lake County,224765
CA,Lassen County,189528
CA,Los Angeles County,647932
CA,Madera County,268724
CA,Marin County,1168353
CA,Mariposa County,277085
CA,Mendocino County,437677
CA,Merced County,284742
CA,Modoc County,152797
CA,Mono County,332822
CA,Monterey County,569751
CA,Napa County,677850
CA,Nevada County,466827
CA,Orange County,747758
CA,Placer County,514029
CA,Plumas County,244411
CA,Riverside County,388215
CA,Sacramento County,387826
CA,San Benito County,526295
CA,San Bernardino County,359487
CA,San Diego County,611062
CA,San Francisco County,1272168
CA,San Joaquin County,390423
CA,San Luis Obispo County,619565
CA,San Mateo County,1252580
CA,Santa Barbara County,606728
CA,Santa Clara County,1112008
CA,Santa Cruz County,844402
CA,Shasta County,266014
CA,Sierra County,167746
CA,Siskiyou County,188567
CA,Solano County,458583
CA,Sonoma County,694882
CA,Stanislaus County,322712
CA,Sutter County,307563
CA,Tehama County,204370
CA,Trinity County,305915
CA,Tulare County,222337
CA,Tuolumne County,292034
CA,Ventura County,623647
CA,Yolo County,472327
CA,Yuba County,279603
CO,Adams County,343531
CO,Alamosa County,170767
CO,Arapahoe County,408027
CO,Archuleta County,306018
CO,Baca County,89125
CO,Bent County,86780
CO,Boulder County,556326
CO,Broomfield County,464057
CO,Chaffee County,349799
CO,Cheyenne County,100517
CO,Clear Creek County,353111
CO,Conejos County,126316
CO,Costilla County,127545
CO,Crowley County,89013
CO,Custer County,277315
CO,Delta County,230295
CO,Denver County,440108
CO,Dolores County,136256
CO,Douglas County,522315
CO,Eagle County,526150
CO,Elbert County,423288
CO,El Paso County,307975
CO,Fremont County,178697
CO,Garfield County,361637
CO,Gilpin County,336068
CO,Grand County,318303
CO,Gunnison County,350580
CO,Hinsdale County,363424
CO,Huerfano County,153456
CO,Jackson County,191317
CO,Jefferson County,454589
CO,Kiowa County,92922
CO,Kit Carson County,145414
CO,Lake County,220690
CO,La Plata County,398382
CO,Larimer County,397354
CO,Las Animas County,162949
CO,Lincoln County,147536
CO,Logan County,166076
CO,Mesa County,252653
CO,Mineral County,311602
CO,Moffat County,188972
