COUNTY AVERAGE TEMPERATURE (F),STATE AVERAGE TEMPERATURE (F),COUNTY NAME,STATE
62.8,62.7,Autauga County,AL
66.7,62.7,Baldwin County,AL
63.8,62.7,Barbour County,AL
62.6,62.7,Bibb County,AL
60.8,62.7,Blount County,AL
63.7,62.7,Bullock County,AL
64.8,62.7,Butler County,AL
61.1,62.7,Calhoun County,AL
61.7,62.7,Chambers County,AL
59.8,62.7,Cherokee County,AL
62.6,62.7,Chilton County,AL
63.9,62.7,Choctaw County,AL
64.7,62.7,Clarke County,AL
61.8,62.7,Clay County,AL
60.6,62.7,Cleburne County,AL
64.9,62.7,Coffee County,AL
60.1,62.7,Colbert County,AL
65.1,62.7,Conecuh County,AL
62.3,62.7,Coosa County,AL
64.8,62.7,Covington County,AL
64.7,62.7,Crenshaw County,AL
60.4,62.7,Cullman County,AL
65.2,62.7,Dale County,AL
63.8,62.7,Dallas County,AL
60.2,62.7,DeKalb County,AL
63.2,62.7,Elmore County,AL
65.1,62.7,Escambia County,AL
61,62.7,Etowah County,AL
60.9,62.7,Fayette County,AL
60.5,62.7,Franklin County,AL
65.1,62.7,Geneva County,AL
63.3,62.7,Greene County,AL
63.5,62.7,Hale County,AL
65.1,62.7,Henry County,AL
63.4,62.7,Houston County,AL
59.2,62.7,Jackson County,AL
61.8,62.7,Jefferson County,AL
61.2,62.7,Lamar County,AL
59.1,62.7,Lauderdale County,AL
60.6,62.7,Lawrence County,AL
62.4,62.7,Lee County,AL
59.9,62.7,Limestone County,AL
64.1,62.7,Lowndes County,AL
63,62.7,Macon County,AL
60,62.7,Madison County,AL
63.9,62.7,Marengo County,AL
60.4,62.7,Marion County,AL
60.7,62.7,Marshall County,AL
66.8,62.7,Mobile County,AL
65.1,62.7,Monroe County,AL
63.9,62.7,Montgomery County,AL
60.4,62.7,Morgan County,AL
63.6,62.7,Perry County,AL
62.9,62.7,Pickens County,AL
64.5,62.7,Pike County,AL
61.4,62.7,Randolph County,AL
62.9,62.7,Russell County,AL
61.1,62.7,St. Clair County,AL
62.1,62.7,Shelby County,AL
63.4,62.7,Sumter County,AL
62,62.7,Talladega County,AL
61.8,62.7,Tallapoosa County,AL
61.7,62.7,Tuscaloosa County,AL
60.6,62.7,Walker County,AL
64.9,62.7,Washington County,AL
64,62.7,Wilcox County,AL
60.5,62.7,Winston County,AL
39,32,Aleutians East Borough,AK
36.1,32,Anchorage Municipality,AK
30.1,32,Bethel Census Area,AK
35.4,32,Bristol Bay Borough,AK
28.1,32,Denali Borough,AK
32.3,32,Dillingham Census Area,AK
27.4,32,Fairbanks North Star Borough,AK
41.5,32,Haines Borough,AK
42.4,32,Hoonah-Angoon Census Area,AK
41.9,32,Juneau City and Borough,AK
35.5,32,Kenai Peninsula Borough,AK
45.6,32,Ketchikan Gateway Borough,AK
39.4,32,Kodiak Island Borough,AK
36,32,Lake and Peninsula Borough,AK
34.2,32,Matanuska-Susitna Borough,AK
24.7,32,Nome Census Area,AK
14.2,32,North Slope Borough,AK
23.2,32,Northwest Arctic Borough,AK
43.7,32,Petersburg Borough,AK
45.4,32,Prince of Wales-Hyder Census Area,AK
43.4,32,Sitka City and Borough,AK
41.5,32,Skagway Municipality,AK
25.6,32,Southeast Fairbanks Census Area,AK
28.5,32,Valdez-Cordova Census Area,AK
44.6,32,Wrangell City and Borough,AK
32.9,32,Yakutat City and Borough,AK
25.4,32,Yukon-Koyukuk Census Area,AK
51.2,66,Apache County,AZ
61.9,66,Cochise County,AZ
54.1,66,Coconino County,AZ
60.6,66,Gila County,AZ
64.1,66,Graham County,AZ
51.5,66,Greenlee County,AZ
73.7,66,La Paz County,AZ
71,66,Maricopa County,AZ
67.5,66,Mohave County,AZ
54.2,66,Navajo County,AZ
70.9,66,Pima County,AZ
71,66,Pinal County,AZ
64,66,Santa Cruz County,AZ
58,66,Yavapai County,AZ
