County,State,Year,Force,Employed,Unemployed,(%)
Autauga County,AL,2018,"25,957","25,015",942,3.6
Baldwin County,AL,2018,"93,849","90,456","3,393",3.6
Barbour County,AL,2018,"8,373","7,940",433,5.2
Bibb County,AL,2018,"8,661","8,317",344,4
Blount County,AL,2018,"25,006","24,128",878,3.5
Bullock County,AL,2018,"4,776","4,552",224,4.7
Butler County,AL,2018,"8,914","8,487",427,4.8
Calhoun County,AL,2018,"45,972","43,833","2,139",4.7
Chambers County,AL,2018,"15,276","14,679",597,3.9
Cherokee County,AL,2018,"11,622","11,207",415,3.6
Chilton County,AL,2018,"19,476","18,773",703,3.6
Choctaw County,AL,2018,"4,694","4,434",260,5.5
Clarke County,AL,2018,"7,627","7,057",570,7.5
Clay County,AL,2018,"5,963","5,730",233,3.9
Cleburne County,AL,2018,"5,743","5,499",244,4.2
Coffee County,AL,2018,"20,817","19,995",822,3.9
Colbert County,AL,2018,"23,258","22,184","1,074",4.6
Conecuh County,AL,2018,"4,494","4,259",235,5.2
Coosa County,AL,2018,"4,376","4,193",183,4.2
Covington County,AL,2018,"15,617","14,902",715,4.6
Crenshaw County,AL,2018,"6,298","6,041",257,4.1
Cullman County,AL,2018,"37,830","36,589","1,241",3.3
Dale County,AL,2018,"20,120","19,274",846,4.2
Dallas County,AL,2018,"14,860","13,887",973,6.5
DeKalb County,AL,2018,"30,129","28,979","1,150",3.8
Elmore County,AL,2018,"37,215","35,932","1,283",3.4
Escambia County,AL,2018,"14,352","13,696",656,4.6
Etowah County,AL,2018,"43,096","41,328","1,768",4.1
Fayette County,AL,2018,"6,482","6,215",267,4.1
Franklin County,AL,2018,"14,203","13,673",530,3.7
Geneva County,AL,2018,"10,851","10,425",426,3.9
Greene County,AL,2018,"2,838","2,647",191,6.7
Hale County,AL,2018,"5,991","5,686",305,5.1
Henry County,AL,2018,"6,766","6,466",300,4.4
Houston County,AL,2018,"45,150","43,325","1,825",4
Jackson County,AL,2018,"23,241","22,286",955,4.1
Jefferson County,AL,2018,"314,014","302,359","11,655",3.7
Lamar County,AL,2018,"5,721","5,503",218,3.8
Lauderdale County,AL,2018,"42,141","40,375","1,766",4.2
Lawrence County,AL,2018,"13,919","13,336",583,4.2
Lee County,AL,2018,"74,654","71,951","2,703",3.6
Limestone County,AL,2018,"42,393","40,890","1,503",3.5
Lowndes County,AL,2018,"3,625","3,360",265,7.3
Macon County,AL,2018,"7,816","7,389",427,5.5
Madison County,AL,2018,"179,752","173,532","6,220",3.5
Marengo County,AL,2018,"7,589","7,209",380,5
Marion County,AL,2018,"12,549","12,036",513,4.1
Marshall County,AL,2018,"42,598","41,157","1,441",3.4
Mobile County,AL,2018,"187,406","178,608","8,798",4.7
Monroe County,AL,2018,"7,158","6,716",442,6.2
Montgomery County,AL,2018,"105,579","101,360","4,219",4
Morgan County,AL,2018,"56,339","54,356","1,983",3.5
Perry County,AL,2018,"3,397","3,175",222,6.5
Pickens County,AL,2018,"7,805","7,449",356,4.6
Pike County,AL,2018,"15,230","14,544",686,4.5
Randolph County,AL,2018,"9,538","9,155",383,4
Russell County,AL,2018,"23,753","22,798",955,4
St. Clair County,AL,2018,"39,683","38,296","1,387",3.5
Shelby County,AL,2018,"112,891","109,672","3,219",2.9
Sumter County,AL,2018,"4,768","4,487",281,5.9
Talladega County,AL,2018,"34,978","33,481","1,497",4.3
Tallapoosa County,AL,2018,"17,772","17,028",744,4.2
Tuscaloosa County,AL,2018,"101,569","97,855","3,714",3.7
Walker County,AL,2018,"25,132","24,064","1,068",4.2
Washington County,AL,2018,"6,667","6,278",389,5.8
Wilcox County,AL,2018,"2,734","2,472",262,9.6
Winston County,AL,2018,"9,781","9,371",410,4.2
Aleutians East Borough,AK,2018,"2,321","2,252",69,3
Aleutians West Census Area,AK,2018,"3,615","3,487",128,3.5
Anchorage Borough/municipality,AK,2018,"151,950","143,602","8,348",5.5
Bethel Census Area,AK,2018,"7,400","6,455",945,12.8
Bristol Bay Borough,AK,2018,441,413,28,6.3
Denali Borough,AK,2018,"1,088","1,003",85,7.8
Dillingham Census Area,AK,2018,"2,027","1,861",166,8.2
Fairbanks North Star Borough,AK,2018,"46,101","43,426","2,675",5.8
Haines Borough,AK,2018,"1,092",988,104,9.5
Hoonah-Angoon Census Area,AK,2018,"1,158","1,012",146,12.6
Juneau Borough/city,AK,2018,"17,232","16,470",762,4.4
Kenai Peninsula Borough,AK,2018,"26,497","24,453","2,044",7.7
Ketchikan Gateway Borough,AK,2018,"7,026","6,604",422,6
Kodiak Island Borough,AK,2018,"6,210","5,848",362,5.8
Kusilvak Census Area,AK,2018,"2,708","2,169",539,19.9
Lake and Peninsula Borough,AK,2018,739,653,86,11.6
Matanuska-Susitna Borough,AK,2018,"47,654","44,014","3,640",7.6
Nome Census Area,AK,2018,"4,113","3,636",477,11.6
North Slope Borough,AK,2018,"3,413","3,173",240,7
Northwest Arctic Borough,AK,2018,"2,924","2,508",416,14.2
Petersburg Borough,AK,2018,"1,404","1,282",122,8.7
Prince of Wales-Hyder Census Area,AK,2018,"2,899","2,584",315,10.9
Sitka Borough/city,AK,2018,"4,408","4,225",183,4.2
Skagway Municipality,AK,2018,836,754,82,9.8
Southeast Fairbanks Census Area,AK,2018,"2,940","2,658",282,9.6
Valdez-Cordova Census Area,AK,2018,"4,849","4,488",361,7.4
Wrangell Borough/city,AK,2018,"1,051",977,74,7
