State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Flow(%),Unemployment Rate(%),1 Bed Average,2 Bed Average,Highest Marginal Income Tax Rate (%),Median Home Price 2017
IL,Hancock County,6895,395245,431,17377,352,14196,-79,-1.146,4.7,530,679,4.95,"$86,943 "
WI,Kewaunee County,8093,513387,464,21366,416,19516,-48,-0.593,2.9,626,832,7.65,"$169,207 "
OH,Richland County,45689,2519274,2269,98881,2394,101289,125,0.274,4.9,531,706,4.997,"$113,728 "
TX,San Saba County,1868,96207,112,4640,125,6532,13,0.696,3.0,524,697,0.0,"$104,187 "
MT,Carbon County,3967,243889,333,13986,348,23750,15,0.378,3.5,757,1001,6.9,"$232,882 "
TX,Montgomery County,181177,19602627,15896,1295890,21194,1792445,5298,2.924,3.8,936,1146,0.0,"$253,354 "
MS,DeSoto County,61296,3917758,4877,234309,5835,272763,958,1.563,3.8,753,889,5.0,"$185,279 "
AR,White County,23023,1386324,1681,68805,1569,61758,-112,-0.486,4.4,530,687,6.9,"$123,393 "
TX,Lipscomb County,1068,70695,68,2778,53,1833,-15,-1.404,2.7,646,742,0.0,"$99,246 "
IL,DeKalb County,35265,2401855,3293,148854,2953,135873,-340,-0.964,4.4,762,1013,4.95,"$178,675 "
WI,Bayfield County,6235,392425,392,21626,447,34571,55,0.882,4.9,586,780,7.65,"$175,372 "
MT,Garfield County,406,20403,20,228,-1,-1,-21,-5.172,2.7,550,697,6.9,"$127,434 "
MO,St. Clair County,2862,120492,210,6496,188,6725,-22,-0.769,4.4,509,641,5.4,"$82,494 "
MN,Chisago County,20863,1643790,1630,92023,1933,111675,303,1.452,3.4,923,1164,9.85,"$225,329 "
NH,Merrimack County,59085,4896308,4614,382389,5038,310543,424,0.718,2.2,939,1195,0.0,"$248,040 "
MI,Mecosta County,13079,746508,1258,48167,1228,53853,-30,-0.229,5.0,618,735,4.25,"$123,918 "
TX,Harrison County,21578,1306959,1749,84448,1793,88924,44,0.204,4.4,709,818,0.0,"$152,199 "
VT,Washington County,25040,1733490,1609,81954,1618,91771,9,0.036,2.6,862,1135,8.75,"$226,951 "
IN,Wabash County,11942,708532,674,32333,623,25274,-51,-0.427,3.5,581,752,3.23,"$103,938 "
IL,Richland County,5913,318411,324,13407,264,10168,-60,-1.015,4.7,504,670,4.95,"$85,002 "
SC,Orangeburg County,28098,1276804,1721,66364,1512,56842,-209,-0.744,5.8,552,728,7.0,"$98,876 "
TN,Benton County,5249,243342,292,10843,393,14410,101,1.924,4.9,510,613,0.0,"$96,568 "
KY,Casey County,4626,186580,261,11207,277,9588,16,0.346,4.7,540,620,5.0,"$81,805 "
IL,St. Clair County,94392,6301709,6366,372163,5866,290159,-500,-0.53,5.0,739,957,4.95,"$136,419 "
MT,Mineral County,1460,80378,139,6104,159,7507,20,1.37,7.2,550,697,6.9,"$175,099 "
AZ,Gila County,16962,872935,1215,58993,1477,87616,262,1.545,5.9,689,916,4.54,"$161,057 "
MT,Prairie County,424,21545,25,938,22,714,-3,-0.708,3.7,550,697,6.9,"$110,341 "
NC,Wilkes County,22264,1168714,902,38925,930,38543,28,0.126,3.7,547,683,5.25,"$144,892 "
AR,Dallas County,2167,101876,148,5252,141,4990,-7,-0.323,4.4,476,633,6.9,"$67,220 "
ME,Oxford County,20688,1037441,1302,53318,1499,71651,197,0.952,4.0,673,808,7.15,"$141,968 "
VT,Rutland County,25524,1468436,1308,62224,1193,61517,-115,-0.451,3.1,813,979,8.75,"$185,573 "
VT,Orange County,11886,735616,865,40956,914,45214,49,0.412,2.7,802,1026,8.75,"$196,754 "
NV,Lander County,1840,143296,172,9332,139,6988,-33,-1.793,3.7,863,1148,0.0,"$172,696 "
NC,Yadkin County,12900,719469,728,27682,745,27431,17,0.132,3.4,637,792,5.25,"$138,625 "
ME,Somerset County,17527,872431,1174,54012,1300,54618,126,0.719,4.8,660,813,7.15,"$111,753 "
WV,Braxton County,4214,207685,175,7144,190,7228,15,0.356,7.0,561,644,6.5,"$94,062 "
KS,Republic County,1915,92125,74,2158,75,3037,1,0.052,2.7,533,697,5.7,"$62,440 "
MO,Scotland County,1583,70482,134,4895,72,2724,-62,-3.917,2.9,482,641,5.4,"$86,172 "
ME,Knox County,16269,1061882,968,48161,1002,73722,34,0.209,3.2,754,955,7.15,"$206,536 "
WA,Okanogan County,14379,757710,895,40611,968,50237,73,0.508,6.4,616,749,0.0,"$189,079 "
IL,Perry County,7080,385757,398,14587,321,15162,-77,-1.088,6.0,563,670,4.95,"$82,243 "
