,1_BDRM_MEAN,2_BDRM_MEAN,County,State
0,742,890,Autauga ,AL
1,809,929,Baldwin ,AL
2,531,706,Barbour ,AL
3,832,955,Bibb ,AL
4,832,955,Blount ,AL
5,513,643,Bullock ,AL
6,481,640,Butler ,AL
7,542,721,Calhoun ,AL
8,615,738,Chambers ,AL
9,516,686,Cherokee ,AL
10,615,706,Chilton ,AL
11,545,725,Choctaw ,AL
12,528,606,Clarke ,AL
13,528,606,Clay ,AL
14,520,691,Cleburne ,AL
15,583,686,Coffee ,AL
16,564,713,Colbert ,AL
17,456,606,Conecuh ,AL
18,541,679,Coosa ,AL
19,477,634,Covington ,AL
20,459,606,Crenshaw ,AL
21,544,674,Cullman ,AL
22,516,652,Dale ,AL
23,517,606,Dallas ,AL
24,456,606,DeKalb ,AL
25,742,890,Elmore ,AL
26,542,623,Escambia ,AL
27,533,709,Etowah ,AL
28,528,606,Fayette ,AL
29,526,615,Franklin ,AL
30,576,748,Geneva ,AL
31,483,606,Greene ,AL
32,704,859,Hale ,AL
33,586,673,Henry ,AL
34,576,748,Houston ,AL
35,542,655,Jackson ,AL
36,832,955,Jefferson ,AL
37,523,606,Lamar ,AL
38,564,713,Lauderdale ,AL
39,549,703,Lawrence ,AL
40,680,889,Lee ,AL
41,646,768,Limestone ,AL
42,742,890,Lowndes ,AL
43,477,634,Macon ,AL
44,646,768,Madison ,AL
45,498,606,Marengo ,AL
46,456,606,Marion ,AL
47,495,655,Marshall ,AL
48,733,901,Mobile ,AL
49,528,606,Monroe ,AL
50,742,890,Montgomery ,AL
51,549,703,Morgan ,AL
52,528,606,Perry ,AL
53,456,606,Pickens ,AL
54,558,669,Pike ,AL
55,539,682,Randolph ,AL
56,742,891,Russell ,AL
57,832,955,St. Clair ,AL
58,832,955,Shelby ,AL
59,562,747,Sumter ,AL
60,497,661,Talladega ,AL
61,554,638,Tallapoosa ,AL
62,704,859,Tuscaloosa ,AL
63,537,697,Walker ,AL
64,547,686,Washington ,AL
65,528,606,Wilcox ,AL
66,456,606,Winston ,AL
67,964,1107,Aleutians East Borough,AK
68,1338,1779,Aleutians West Census Area,AK
69,1097,1417,Anchorage Municipal,AK
70,1419,1630,Bethel Census Area,AK
71,1002,1317,Bristol Bay Borough,AK
72,1178,1520,Denali Borough,AK
73,1181,1356,Dillingham Census Area,AK
74,1089,1449,Fairbanks North Star Borough,AK
75,883,1014,Haines Borough,AK
76,675,871,Hoonah-Angoon Census Area,AK
77,1138,1514,Juneau City and Borough,AK
78,874,1154,Kenai Peninsula Borough,AK
79,1019,1355,Ketchikan Gateway Borough,AK
80,1095,1258,Kodiak Island Borough,AK
81,866,994,Kusilvak Census Area,AK
82,809,947,Lake and Peninsula Borough,AK
83,877,1167,Matanuska-Susitna Borough,AK
84,1426,1689,Nome Census Area,AK
85,1137,1306,North Slope Borough,AK
86,1243,1428,Northwest Arctic Borough,AK
87,844,1123,Petersburg Census Area,AK
88,849,1101,Prince of Wales-Hyder Census Area,AK
89,1074,1344,Sitka City and Borough,AK
90,1183,1467,Skagway Municipal,AK
91,1098,1301,Southeast Fairbanks Census Area,AK
92,961,1278,Valdez-Cordova Census Area,AK
93,755,1004,Wrangell City and Borough,AK
94,887,1180,Yakutat City and Borough,AK
95,658,841,Yukon-Koyukuk Census Area,AK
96,595,697,Apache ,AZ
97,679,852,Cochise ,AZ
98,982,1206,Coconino ,AZ
99,689,916,Gila ,AZ
100,688,831,Graham ,AZ
101,547,722,Greenlee ,AZ
102,594,790,La Paz ,AZ
103,870,1082,Maricopa ,AZ
104,659,839,Mohave ,AZ
105,619,777,Navajo ,AZ
106,682,907,Pima ,AZ
107,870,1082,Pinal ,AZ
108,571,760,Santa Cruz ,AZ
109,711,945,Yavapai ,AZ
110,650,865,Yuma ,AZ
111,518,683,Arkansas ,AR
112,543,643,Ashley ,AR
113,550,731,Baxter ,AR
114,596,773,Benton ,AR
115,492,654,Boone ,AR
116,538,716,Bradley ,AR
117,583,669,Calhoun ,AR
118,535,712,Carroll ,AR
119,551,633,Chicot ,AR
120,508,676,Clark ,AR
121,476,633,Clay ,AR
122,534,710,Cleburne ,AR
123,568,731,Cleveland ,AR
124,551,633,Columbia ,AR
125,574,763,Conway ,AR
126,630,764,Craighead ,AR
127,545,725,Crawford ,AR
128,753,889,Crittenden ,AR
129,544,724,Cross ,AR
130,476,633,Dallas ,AR
131,476,633,Desha ,AR
132,511,680,Drew ,AR
133,719,862,Faulkner ,AR
134,493,656,Franklin ,AR
135,476,633,Fulton ,AR
136,612,814,Garland ,AR
137,643,738,Grant ,AR
138,589,721,Greene ,AR
139,521,663,Hempstead ,AR
140,586,691,Hot Spring ,AR
141,484,644,Howard ,AR
142,505,672,Independence ,AR
143,476,633,Izard ,AR
144,492,655,Jackson ,AR
145,568,731,Jefferson ,AR
146,517,688,Johnson ,AR
147,511,633,Lafayette ,AR
148,497,633,Lawrence ,AR
149,476,633,Lee ,AR
150,568,731,Lincoln ,AR
151,476,633,Little River ,AR
152,551,633,Logan ,AR
153,719,862,Lonoke ,AR
154,596,773,Madison ,AR
155,504,633,Marion ,AR
156,665,843,Miller ,AR
157,516,686,Mississippi ,AR
158,504,644,Monroe ,AR
159,489,651,Montgomery ,AR
160,506,673,Nevada ,AR
161,481,633,Newton ,AR
162,524,637,Ouachita ,AR
163,719,862,Perry ,AR
164,482,641,Phillips ,AR
165,551,633,Pike ,AR
166,476,633,Poinsett ,AR
167,476,633,Polk ,AR
168,518,689,Pope ,AR
169,476,633,Prairie ,AR
170,719,862,Pulaski ,AR
171,478,636,Randolph ,AR
172,476,633,St. Francis ,AR
173,719,862,Saline ,AR
174,476,633,Scott ,AR
175,508,633,Searcy ,AR
176,545,725,Sebastian ,AR
177,478,636,Sevier ,AR
178,477,635,Sharp ,AR
179,494,657,Stone ,AR
180,605,699,Union ,AR
181,483,642,Van Buren ,AR
182,596,773,Washington ,AR
183,530,687,White ,AR
184,476,633,Woodruff ,AR
185,504,633,Yell ,AR
186,2000,2511,Alameda ,CA
187,764,1012,Alpine ,CA
188,829,1102,Amador ,CA
189,834,1055,Butte ,CA
190,822,972,Calaveras ,CA
191,780,896,Colusa ,CA
192,2000,2511,Contra Costa ,CA
193,759,936,Del Norte ,CA
194,916,1157,El Dorado ,CA
195,819,1018,Fresno ,CA
196,655,871,Glenn ,CA
197,780,1023,Humboldt ,CA
198,723,948,Imperial ,CA
199,805,972,Inyo ,CA
200,744,968,Kern ,CA
201,810,1000,Kings ,CA
202,762,988,Lake ,CA
203,699,930,Lassen ,CA
204,1388,1798,Los Angeles ,CA
205,768,1021,Madera ,CA
206,2704,3377,Marin ,CA
207,777,989,Mariposa ,CA
208,826,1098,Mendocino ,CA
