,State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow
70,AR,Fulton County,3418,145742,239,7263,352,13347,113,3.306
1733,SC,Darlington County,21792,1095837,1398,56764,1352,56949,-46,-0.21100000000000002
0,NV,Eureka County,556,38167,26,2961,78,4974,52,9.353
848,SD,McCook County,2070,135214,121,5390,135,6411,14,0.6759999999999999
2338,MN,Lac qui Parle County,2693,173083,122,5636,101,4597,-21,-0.78
425,GA,Coweta County,47355,3716489,3931,243638,4594,302171,663,1.4
100,GA,Paulding County,49626,3264173,5260,269783,6759,337299,1499,3.0210000000000004
2172,IN,Scott County,8113,416326,602,22996,552,21720,-50,-0.616
366,AZ,Gila County,16962,872935,1215,58993,1477,87616,262,1.545
726,VA,Fauquier County,25932,2778605,2269,190114,2489,204330,220,0.848
2970,ND,Divide County,908,61923,56,3263,24,1238,-32,-3.5239999999999996
1547,KY,McCracken County,23646,1632599,1577,80039,1569,73032,-8,-0.034
1319,NC,Nash County,33289,1871583,2475,98260,2532,100477,57,0.171
504,NC,Davidson County,57675,3395591,3582,158850,4289,209422,707,1.226
1039,IA,Clayton County,6920,388860,335,12586,366,17395,31,0.44799999999999995
2738,NC,Washington County,3980,177001,229,7289,170,5782,-59,-1.482
774,VA,Albemarle County,37574,4865173,4223,322856,4508,417727,285,0.759
28,GA,Jackson County,21694,1424906,2143,112575,3046,176523,903,4.162
1068,VT,Orange County,11886,735616,865,40956,914,45214,49,0.41200000000000003
499,NV,Churchill County,8550,489626,919,43486,1025,49417,106,1.24
2299,IA,O'Brien County,5330,357006,348,12903,309,12698,-39,-0.732
365,WA,Pend Oreille County,4173,370781,398,21703,463,28861,65,1.558
776,NE,Fillmore County,2256,147708,88,3742,105,4458,17,0.754
547,MN,Isanti County,14883,981089,1336,65818,1508,78409,172,1.156
1544,IA,Cedar County,7063,387343,494,26138,492,23944,-2,-0.027999999999999997
2574,SD,Hughes County,6906,494710,543,30631,466,21644,-77,-1.115
2858,SD,Ziebach County,388,14828,28,720,20,298,-8,-2.062
318,IN,Hendricks County,59416,4914037,5204,299206,6224,337156,1020,1.7169999999999999
29,SC,Jasper County,8324,409293,920,42217,1265,71439,345,4.145
113,MT,Sweet Grass County,1339,79369,61,3180,100,4629,39,2.9130000000000003
