INTPTLAT,INTPTLNG,COUNTY NAME,USPS
32.532237,-86.64644,Autauga County,AL
30.659218,-87.746067,Baldwin County,AL
31.870253,-85.405104,Barbour County,AL
33.015893,-87.127148,Bibb County,AL
33.977358,-86.56644,Blount County,AL
32.101759,-85.717261,Bullock County,AL
31.751667,-86.681969,Butler County,AL
33.770516,-85.827909,Calhoun County,AL
32.915504,-85.394032,Chambers County,AL
34.069515,-85.654242,Cherokee County,AL
32.854051,-86.726607,Chilton County,AL
31.990954,-88.248889,Choctaw County,AL
31.685521,-87.818624,Clarke County,AL
33.2704,-85.863525,Clay County,AL
33.671964,-85.516126,Cleburne County,AL
31.402258,-85.989602,Coffee County,AL
34.703112,-87.801457,Colbert County,AL
31.430926,-86.988722,Conecuh County,AL
32.931445,-86.243482,Coosa County,AL
31.243987,-86.448721,Covington County,AL
31.732826,-86.319222,Crenshaw County,AL
34.131923,-86.869267,Cullman County,AL
31.430654,-85.609476,Dale County,AL
32.33354,-87.114356,Dallas County,AL
34.460929,-85.803992,DeKalb County,AL
32.597229,-86.142735,Elmore County,AL
31.122287,-87.16841,Escambia County,AL
34.047641,-86.034263,Etowah County,AL
33.716157,-87.764292,Fayette County,AL
34.441989,-87.842814,Franklin County,AL
31.092382,-85.821022,Geneva County,AL
32.844497,-87.9642,Greene County,AL
32.752796,-87.623061,Hale County,AL
31.516978,-85.239971,Henry County,AL
31.158183,-85.296411,Houston County,AL
34.764114,-85.980056,Jackson County,AL
33.553444,-86.896536,Jefferson County,AL
33.787085,-88.087431,Lamar County,AL
34.904122,-87.650997,Lauderdale County,AL
34.529776,-87.321865,Lawrence County,AL
32.604064,-85.353048,Lee County,AL
34.810239,-86.981399,Limestone County,AL
32.147888,-86.650586,Lowndes County,AL
32.387027,-85.692887,Macon County,AL
34.764238,-86.55108,Madison County,AL
32.247591,-87.791091,Marengo County,AL
34.138219,-87.881551,Marion County,AL
34.309564,-86.321668,Marshall County,AL
30.684572,-88.196568,Mobile County,AL
31.580332,-87.383266,Monroe County,AL
32.202881,-86.204461,Montgomery County,AL
34.454484,-86.846402,Morgan County,AL
32.639005,-87.293827,Perry County,AL
33.296793,-88.096863,Pickens County,AL
31.798651,-85.941604,Pike County,AL
33.296475,-85.464068,Randolph County,AL
32.289811,-85.18698,Russell County,AL
33.712963,-86.315663,St. Clair County,AL
33.263043,-86.678089,Shelby County,AL
32.597481,-88.200057,Sumter County,AL
33.369314,-86.17593,Talladega County,AL
32.863308,-85.799618,Tallapoosa County,AL
33.29022,-87.522783,Tuscaloosa County,AL
33.791558,-87.301094,Walker County,AL
31.405217,-88.197564,Washington County,AL
31.990082,-87.304935,Wilcox County,AL
34.154566,-87.365346,Winston County,AL
55.245044,-161.997477,Aleutians East Borough,AK
51.948964,179.621188,Aleutians West Census Area,AK
61.17425,-149.284329,Anchorage Municipality,AK
60.929141,-160.152625,Bethel Census Area,AK
58.741647,-156.966909,Bristol Bay Borough,AK
63.682039,-150.027016,Denali Borough,AK
59.543326,-158.267123,Dillingham Census Area,AK
64.676044,-146.548159,Fairbanks North Star Borough,AK
59.098404,-135.575791,Haines Borough,AK
58.253462,-136.320731,Hoonah-Angoon Census Area,AK
58.37291,-134.178445,Juneau City and Borough,AK
60.360766,-152.05264,Kenai Peninsula Borough,AK
55.449938,-131.106685,Ketchikan Gateway Borough,AK
57.7044,-153.918372,Kodiak Island Borough,AK
62.283588,-163.190171,Kusilvak Census Area,AK
58.108507,-156.413413,Lake and Peninsula Borough,AK
62.279094,-149.619094,Matanuska-Susitna Borough,AK
64.783686,-164.188912,Nome Census Area,AK
69.449343,-153.47283,North Slope Borough,AK
67.005066,-160.021086,Northwest Arctic Borough,AK
57.112458,-133.008598,Petersburg Borough,AK
55.682773,-133.162389,Prince of Wales-Hyder Census Area,AK
57.193204,-135.367396,Sitka City and Borough,AK
59.560379,-135.338279,Skagway Municipality,AK
63.864997,-143.218628,Southeast Fairbanks Census Area,AK
61.349843,-145.023109,Valdez-Cordova Census Area,AK
56.317416,-132.343978,Wrangell City and Borough,AK
60.017453,-140.416942,Yakutat City and Borough,AK
65.375727,-151.57785,Yukon-Koyukuk Census Area,AK
35.385084,-109.490172,Apache County,AZ
31.840129,-109.775163,Cochise County,AZ
35.829692,-111.773728,Coconino County,AZ
33.789618,-110.81187,Gila County,AZ
32.931828,-109.87831,Graham County,AZ
33.238872,-109.242323,Greenlee County,AZ
33.72761,-114.038806,La Paz County,AZ
33.345176,-112.49893,Maricopa County,AZ
35.717705,-113.749689,Mohave County,AZ
35.390785,-110.321025,Navajo County,AZ
32.128043,-111.783657,Pima County,AZ
32.918521,-111.36634,Pinal County,AZ
31.525733,-110.845228,Santa Cruz County,AZ
34.631071,-112.577225,Yavapai County,AZ
32.773942,-113.910905,Yuma County,AZ
34.28957,-91.376547,Arkansas County,AR
33.190835,-91.772267,Ashley County,AR
36.280268,-92.329949,Baxter County,AR
36.337819,-94.256298,Benton County,AR
36.304299,-93.079236,Boone County,AR
33.466549,-92.169156,Bradley County,AR
33.56046,-92.513879,Calhoun County,AR
36.33737,-93.540972,Carroll County,AR
33.267139,-91.297158,Chicot County,AR
34.053316,-93.176208,Clark County,AR
36.367302,-90.418704,Clay County,AR
35.566315,-92.05995,Cleburne County,AR
33.893201,-92.188714,Cleveland County,AR
33.223038,-93.232843,Columbia County,AR
35.265702,-92.689248,Conway County,AR
35.827729,-90.631421,Craighead County,AR
35.583011,-94.236219,Crawford County,AR
35.211879,-90.315332,Crittenden County,AR
35.285692,-90.763984,Cross County,AR
33.967823,-92.653999,Dallas County,AR
33.828752,-91.244103,Desha County,AR
33.587242,-91.722778,Drew County,AR
35.146548,-92.336928,Faulkner County,AR
35.508558,-93.887665,Franklin County,AR
36.383619,-91.819664,Fulton County,AR
34.578852,-93.146932,Garland County,AR
34.285568,-92.422979,Grant County,AR
36.120607,-90.566346,Greene County,AR
33.735953,-93.664355,Hempstead County,AR
34.315177,-92.944147,Hot Spring County,AR
